resistencia ;tipo junta
78,67;sin recubrimeinto
82,66;sin recubrimeinto
95,64;sin recubrimeinto
90,15;sin recubrimeinto
87,29;sin recubrimeinto
88,16;sin recubrimeinto
76,96;sin recubrimeinto
71,34;sin recubrimeinto
87,75;sin recubrimeinto
79,7;sin recubrimeinto
86,02;sin recubrimeinto
93,46;sin recubrimeinto
76,32;sin recubrimeinto
81,68;sin recubrimeinto
83,66;sin recubrimeinto
92,22;sin recubrimeinto
87,85;sin recubrimeinto
80,6;sin recubrimeinto
76,79;sin recubrimeinto
66,92;sin recubrimeinto
63,23;con recubrimiento
65,11;con recubrimiento
59,57;con recubrimiento
51,4;con recubrimiento
62,55;con recubrimiento
63,3;con recubrimiento
69,1;con recubrimiento
60,55;con recubrimiento
74,34;con recubrimiento
66,73;con recubrimiento
72,11;con recubrimiento
71,83;con recubrimiento
77,05;con recubrimiento
69,12;con recubrimiento
66,51;con recubrimiento
82,06;con recubrimiento
66,69;con recubrimiento
63,76;con recubrimiento
76,17;con recubrimiento
67,69;con recubrimiento
78,58;con recubrimiento
63,94;con recubrimiento
71,54;con recubrimiento
56,09;con recubrimiento
65,29;con recubrimiento
